,year,time,isCloudy,temp
0,20220219,062000,False,-33.0
1,20220224,123400,False,-35.5
2,20220127,090800,True,-5.4
3,20220816,081000,True,-29.0
4,20220729,100000,True,-24.900000000000002
5,20221005,062000,True,-29.1
6,20220607,073600,False,-30.5
7,20220618,061800,True,-20.8
8,20220629,082400,True,-29.099999999999998
9,20220916,103400,True,-1.9000000000000004
10,20220123,094400,True,-21.6
11,20221206,053800,False,-31.2
12,20221030,085000,False,-30.2
13,20220508,062200,True,-10.899999999999999
14,20221224,100200,True,1.7
15,20221219,041600,True,-4.3999999999999995
16,20220630,085800,True,-16.599999999999998
17,20220406,053000,False,-39.9
18,20220331,104400,True,-16.3
19,20220223,025200,True,-15.799999999999999
20,20221025,120400,True,-4.0
21,20221222,115000,False,-37.300000000000004
22,20220825,073200,True,-16.400000000000002
23,20220125,081600,True,0.8
24,20220605,062800,True,-11.700000000000001
25,20221129,100800,True,-3.5999999999999996
26,20221024,033000,True,-15.5
27,20220420,104600,False,-33.1
28,20220515,061200,False,-31.9
29,20220712,054600,True,-29.3
30,20221204,042600,True,-26.199999999999996
31,20220706,062000,True,-27.900000000000002
32,20221210,074000,True,-13.700000000000001
33,20221017,041400,False,-31.7
34,20220303,065400,True,-28.7
35,20220905,033400,False,-31.6
36,20220728,093200,True,-26.5
37,20220427,082600,True,-16.1
38,20220409,073400,False,-34.4
39,20220318,073600,False,-33.7
40,20221013,045800,False,-31.6
41,20220505,053800,False,-33.4
42,20220307,061800,True,-2.2
43,20220831,045400,False,-31.1
44,20221225,093000,True,-9.6
45,20220908,082800,True,-28.299999999999997
46,20221104,073600,True,-17.3
47,20220412,065600,True,-0.8999999999999999
48,20220917,090600,True,-28.3
49,20220124,112400,True,-6.0
50,20220828,042800,False,-30.1
51,20220216,042400,True,0.8000000000000003
52,20220425,093800,False,-34.3
53,20220518,050800,False,-36.2
54,20220305,070600,False,-33.6
55,20221011,054600,True,-29.9
56,20221216,061200,True,-6.300000000000001
57,20220507,042600,True,-13.100000000000001
58,20221231,025000,True,-5.5
59,20220608,053200,False,-30.700000000000003
60,20220322,034400,False,-34.5
61,20220410,074800,False,-40.9
62,20220915,081800,True,-16.5
63,20221222,015000,True,-7.1000000000000005
64,20221025,020400,True,-12.7
65,20220403,044800,True,-24.6
66,20221227,102800,True,-23.200000000000003
67,20221002,064600,True,-28.2
68,20221205,051200,True,-1.7
69,20220316,040600,True,-0.2999999999999998
70,20220407,040400,False,-39.699999999999996
71,20220911,105200,False,-31.099999999999998
72,20220124,092200,True,-5.300000000000001
73,20220521,095600,False,-34.0
74,20220824,060600,True,-29.5
75,20221019,072400,False,-30.8
76,20221028,091800,False,-30.9
77,20220628,091000,True,-28.099999999999998
78,20220917,110000,True,-27.9
79,20220401,055600,True,-23.1
80,20221218,052200,True,-4.6
81,20220509,071600,True,-16.8
82,20221225,113600,True,-4.4
83,20220527,080400,True,-16.1
84,20220314,051800,True,-1.6
85,20220516,063800,True,-28.4
86,20221023,035600,True,-0.8
87,20220218,071400,True,-11.0
88,20220427,102000,True,-25.4
89,20220826,071800,True,-21.3
90,20220310,055400,True,-2.4000000000000004
91,20220817,092400,True,-28.5
92,20221203,044000,True,-0.8000000000000007
93,20220506,051200,True,-16.7
94,20221208,060800,True,-5.9
95,20220902,035200,False,-36.9
96,20220616,052800,False,-33.7
97,20220925,071000,True,-29.3
98,20220420,084000,True,-14.1
99,20221231,125000,True,-3.0
100,20220125,101000,True,0.20000000000000007
101,20220331,084200,True,-25.599999999999998
102,20221222,095600,False,-37.8
103,20220217,051000,False,-36.7
104,20221224,080400,True,1.2000000000000002
105,20221215,063800,True,-3.5999999999999996
106,20220123,114200,True,-6.799999999999999
107,20221030,105600,False,-31.0
108,20220211,044200,False,-34.6
109,20221105,060200,True,-2.1
110,20220916,083200,True,-1.3000000000000007
111,20220816,101600,True,-28.5
112,20220729,080600,True,-25.4
113,20221016,052000,False,-31.0
114,20220707,071400,True,-27.9
115,20220408,060000,False,-35.300000000000004
116,20220325,032200,False,-33.2
117,20220923,064200,False,-30.299999999999997
118,20220426,091200,True,-27.0
119,20221220,072600,True,-11.5
120,20221005,114800,True,-28.200000000000003
121,20220621,052800,False,-31.6
122,20220219,114800,False,-32.5
123,20221101,092000,True,-21.1
124,20220417,084000,False,-30.1
125,20221001,110400,True,-17.299999999999997
126,20221206,125000,True,-14.5
127,20221215,095600,True,-4.1
128,20220422,063000,True,-12.1
129,20220220,051000,False,-35.7
130,20221213,080400,True,-1.6999999999999997
131,20221222,063800,False,-38.8
132,20221007,105600,True,-29.6
133,20220226,044200,False,-39.6
134,20220921,083200,False,-31.599999999999998
135,20221201,023600,True,-29.700000000000003
136,20220411,091200,False,-30.6
137,20221215,015000,True,-4.9
138,20220602,092000,False,-30.900000000000002
139,20221210,102800,True,-10.399999999999999
140,20220126,075200,True,-8.6
141,20220321,040600,False,-34.7
142,20221016,024800,False,-31.4
143,20220619,084200,True,-15.8
144,20220516,095600,True,-26.6
145,20220920,110000,True,-29.8
146,20220213,023400,False,-35.800000000000004
147,20220510,080400,True,-27.400000000000002
148,20220815,075400,True,-26.4
149,20220323,051800,False,-37.5
150,20220521,063800,False,-34.0
151,20221014,035600,False,-34.900000000000006
152,20220919,055800,False,-31.799999999999997
153,20220410,102000,False,-30.900000000000002
154,20221002,092800,True,-26.299999999999997
155,20220514,084800,True,-29.9
156,20220208,035600,False,-31.900000000000002
157,20221209,105400,True,-17.9
158,20221020,041400,False,-32.2
159,20220731,062000,True,-26.5
