,year,time,isCloudy,temp
0,20220119,024600,False,-32.166666666666664
1,20220119,024800,False,-32.5
2,20220119,025000,False,-32.333333333333336
3,20220119,025200,False,-32.44444444444444
4,20220119,025400,False,-32.166666666666664
5,20220119,025600,False,-32.22222222222222
6,20220119,025800,False,-32.0
7,20220119,030000,False,-32.05555555555555
8,20220119,030200,False,-31.833333333333332
9,20220119,030400,False,-31.88888888888889
10,20220119,030600,False,-31.444444444444443
11,20220119,030800,False,-31.111111111111114
12,20220119,031000,False,-31.222222222222225
13,20220119,031200,False,-31.277777777777782
14,20220119,031400,False,-31.166666666666664
15,20220119,031600,False,-31.444444444444446
16,20220119,031800,False,-31.666666666666668
17,20220119,032000,False,-31.5
18,20220119,032200,False,-31.27777777777778
19,20220119,032400,False,-31.055555555555557
20,20220119,032600,False,-30.944444444444446
21,20220119,032800,False,-30.944444444444446
22,20220119,033000,False,-30.888888888888893
23,20220119,033200,False,-31.111111111111107
24,20220119,033400,False,-31.277777777777782
25,20220119,033600,False,-30.722222222222225
26,20220119,033800,False,-30.5
27,20220119,034000,False,-30.22222222222222
28,20220119,034200,False,-30.22222222222222
29,20220119,034400,False,-30.333333333333332
30,20220119,034600,False,-30.944444444444443
31,20220119,034800,False,-30.666666666666668
32,20220119,035000,False,-30.666666666666668
33,20220119,035200,False,-30.666666666666664
34,20220119,035400,False,-30.38888888888889
35,20220119,035600,False,-30.38888888888889
36,20220119,035800,False,-30.5
37,20220119,040000,False,-30.11111111111111
38,20220119,040200,True,-29.72222222222222
39,20220119,040400,True,-29.444444444444446
40,20220119,040600,True,-29.61111111111111
41,20220119,040800,True,-29.22222222222222
42,20220119,041000,True,-29.444444444444443
43,20220119,041200,True,-29.555555555555557
44,20220119,041400,True,-29.11111111111111
45,20220119,041600,True,-29.499999999999996
46,20220119,041800,True,-29.38888888888889
47,20220119,042000,True,-29.500000000000004
48,20220119,042200,True,-29.611111111111114
49,20220119,042400,True,-29.944444444444443
50,20220119,042600,True,-29.72222222222222
51,20220119,042800,True,-29.88888888888889
52,20220119,043000,False,-30.166666666666668
53,20220119,043200,False,-30.833333333333336
54,20220119,043400,False,-31.222222222222225
55,20220119,043600,False,-31.222222222222225
56,20220119,043800,False,-30.999999999999996
57,20220119,044000,False,-30.666666666666664
58,20220119,044200,False,-30.61111111111111
59,20220119,044400,False,-30.222222222222225
60,20220119,044600,False,-30.11111111111111
61,20220119,044800,False,-30.22222222222222
62,20220119,045000,False,-30.111111111111107
63,20220119,045200,False,-30.444444444444443
64,20220119,045400,False,-30.72222222222222
65,20220119,045600,False,-30.61111111111111
66,20220119,045800,False,-30.72222222222222
67,20220119,060000,False,-31.555555555555557
68,20220119,060200,False,-31.22222222222222
69,20220119,060400,False,-30.888888888888886
70,20220119,060600,True,-29.611111111111114
71,20220119,060800,False,-30.166666666666668
72,20220119,061000,True,-29.77777777777778
73,20220119,061200,False,-30.499999999999996
74,20220119,061400,True,-29.833333333333332
75,20220119,061600,True,-29.944444444444446
76,20220119,061800,True,-29.5
77,20220119,062000,True,-29.22222222222222
78,20220119,062200,True,-29.166666666666664
79,20220119,062400,True,-28.777777777777775
80,20220119,062600,True,-28.944444444444443
81,20220119,062800,True,-28.666666666666664
82,20220119,063000,True,-28.333333333333332
83,20220119,063200,True,-28.27777777777778
84,20220119,063400,True,-28.38888888888889
85,20220119,063600,True,-28.333333333333332
86,20220119,063800,True,-28.444444444444446
87,20220119,064000,True,-28.72222222222222
88,20220119,064200,True,-28.833333333333332
89,20220119,064400,True,-29.055555555555557
90,20220119,064600,True,-28.944444444444446
91,20220119,064800,True,-28.944444444444446
92,20220119,065000,True,-28.777777777777775
93,20220119,065200,True,-28.77777777777778
94,20220119,065400,True,-28.666666666666664
95,20220119,065600,True,-28.88888888888889
96,20220119,065800,True,-28.666666666666664
97,20220119,090000,True,-25.055555555555554
98,20220119,090200,True,-25.888888888888886
99,20220119,090400,True,-26.055555555555557
100,20220119,090600,True,-25.27777777777778
101,20220119,090800,True,-24.833333333333332
102,20220119,091000,True,-25.38888888888889
103,20220119,091200,True,-26.5
104,20220119,091400,True,-26.88888888888889
105,20220119,091600,True,-27.0
106,20220119,091800,True,-27.444444444444446
107,20220119,092000,True,-27.88888888888889
108,20220119,092200,True,-27.5
109,20220119,092400,True,-27.88888888888889
110,20220119,092600,True,-28.944444444444446
111,20220119,092800,False,-30.38888888888889
112,20220119,093000,False,-31.222222222222218
113,20220119,093200,False,-31.444444444444443
114,20220119,093400,False,-31.38888888888889
115,20220119,093600,False,-31.166666666666668
116,20220119,093800,False,-30.722222222222218
117,20220119,094000,False,-30.77777777777778
118,20220119,094200,False,-30.77777777777778
119,20220119,094400,False,-30.666666666666668
120,20220119,094600,False,-30.499999999999996
121,20220119,094800,False,-30.388888888888893
122,20220119,095000,False,-30.388888888888893
123,20220119,095200,False,-30.22222222222222
124,20220119,095400,False,-30.388888888888893
125,20220119,095600,False,-30.5
126,20220119,095800,False,-30.388888888888886
127,20220119,110000,True,-25.055555555555557
128,20220119,110200,True,-24.944444444444443
129,20220119,110400,True,-25.888888888888886
130,20220119,110600,True,-27.22222222222222
131,20220119,110800,True,-27.555555555555554
132,20220119,111000,True,-27.666666666666664
133,20220119,111200,True,-27.055555555555554
134,20220119,111400,True,-26.444444444444446
135,20220119,111600,True,-24.38888888888889
136,20220119,111800,True,-21.61111111111111
137,20220119,112000,True,-17.5
138,20220119,112200,True,-15.11111111111111
139,20220119,112400,True,-14.666666666666664
140,20220119,112600,True,-14.444444444444443
